"X","X2014_F05600_ln","X2014_F10400_ln","X2014_CAPAS_ln","X2014_F05510_ln","X2014_F10500_ln","X2014_F10300_ln","X2014_RETA_ln","X2014_F02200_ln","X2014_V16140_ln","not_survive"
21,4.12713438504509,4.86753445045558,-4.63134632115636,7.73892375743946,9.0068768914288,5.91079664404053,-1.32800803124137,8.22282213081366,3.52636052461616,0
25,4.84418708645859,3.93182563272433,-2.38752576964313,5.0998664278242,7.40184157874383,4.62497281328427,-2.30319466326589,6.62671774924902,2.83321334405622,0
26,0.693147180559945,2.19722457733622,-5.25227342804663,2.07944154167984,3.40119738166216,4.97673374242057,-5.47227067367148,4.55387689160054,3.46573590279973,0
27,5.12396397940326,3.87120101090789,-0.643822113997444,4.60517018598809,6.06610809010375,4.51085950651685,-1.78842056796254,4.78749174278205,2.83321334405622,1
30,4.81218435537242,3.29583686600433,-1.26622769807237,6.14203740558736,7.22475340576797,4.95582705760126,-0.660357357736954,4.79579054559674,2.77258872223978,0
31,4.43081679884331,3.04452243772342,-1.58989331636113,4.33073334028633,5.19295685089021,5.87211778947542,-2.25267588187243,4.24849524204936,3.78418963391826,0
32,1.79175946922805,2.56494935746154,-3.40673756203777,0,5.97126183979046,4.72738781871234,-2.83321334405622,5.03043792139244,2.77258872223978,0
34,3.93182563272433,0,1.85238409104449,4.33073334028633,2.39789527279837,4.51085950651685,-0.55206858230004,2.07944154167984,2.63905732961526,1
35,1.38629436111989,2.63905732961526,-5.11948969900834,0.693147180559945,7.15539630189673,4.87519732320115,-6.23048144757848,3.85014760171006,2.63905732961526,0
36,1.94591014905531,1.79175946922805,-4.40671924726425,4.89034912822175,7.24494154633701,6.39859493453521,-3.20585914342828,2.77258872223978,3.63758615972639,0
37,3.40119738166216,2.89037175789616,-2.07944154167984,6.26530121273771,6.13122648948314,4.48863636973214,-0.27283861102996,4.45434729625351,2.63905732961526,0
41,3.29583686600433,3.58351893845611,-3.09689042324074,6.24027584517077,6.63987583382654,5.12396397940326,-0.47146454988541,5.65248918026865,2.89037175789616,0
42,5.57972982598622,2.77258872223978,-1.54987565128276,7.05703698169789,8.60392119492606,4.74493212836325,-0.941634379317885,6.94312242281943,2.83321334405622,0
44,5.10594547390058,4.44265125649032,-1.82793912580556,7.04053639021596,3.52636052461616,6.33682573114644,-0.321474161043778,7.07157336421153,4.04305126783455,0
45,5.96100533962327,4.91265488573605,-1.1207032464823,6.71295620067707,3.58351893845611,4.59511985013459,-0.592903832006939,6.90675477864855,2.99573227355399,0
49,0,1.09861228866811,-6.0591231955818,3.2188758248682,6.50428817353665,4.21950770517611,-1.05779029414785,2.99573227355399,2.63905732961526,0
50,5.2257466737132,4.04305126783455,-0.937223941540621,6.70441435496411,8.17723488551019,5.05624580534831,-0.599428870313597,5.60947179518496,2.89037175789616,0
51,6.56385552653213,4.8283137373023,-1.11749264811722,7.72488843932307,7.43366654016617,4.68213122712422,-0.612938823124842,7.33367639565768,2.70805020110221,0
52,6.10924758276437,4.64439089914137,-1.42255507057431,7.3375877435386,9.65052891614273,6.0591231955818,-1.27291362501129,5.79909265446053,3.73766961828337,0
54,4.20469261939097,4.29045944114839,-2.65230255636528,7.16317239084664,7.68753876620163,5.17048399503815,-0.174415352691953,5.71042701737487,2.83321334405622,1
55,3.73766961828337,4.06044301054642,-6.64639051484773,6.87005341179813,8.60116662519242,5.73657229747919,-0.735836589254996,6.42486902390539,3.85014760171006,0
56,2.56494935746154,2.89037175789616,-6.16261280330381,4.83628190695148,3.13549421592915,5.03043792139244,-1.94364000052077,4.18965474202643,2.89037175789616,1
57,6.50428817353665,5.98645200528444,-1.76100883994987,6.6631326959908,9.26065318584977,6.72383244082121,-1.83304112820136,8.07620452723903,4.88280192258637,0
58,2.484906649788,3.25809653802148,-4.67999218887547,4.62497281328427,5.86078622346587,4.44265125649032,-2.62849756940026,6.05678401322862,2.56494935746154,1
59,6.5206211275587,5.06890420222023,0.65708224563915,6.11809719804135,3.36729582998647,6.41017488196617,-1.05355962472717,5.88332238848828,2.94443897916644,0
60,4.38202663467388,4.06044301054642,-2.36360619931974,5.40717177146012,8.24852912480022,5.44241771052179,-1.82121668011349,6.00388706710654,3.58351893845611,1
61,3.87120101090789,4.26267987704132,-3.16933537930806,5.78074351579233,6.00388706710654,4.59511985013459,-1.49442880366044,6.00141487796115,3.25809653802148,1
63,2.30258509299405,3.93182563272433,-2.29000631078719,6.95463886488099,3.29583686600433,7.03702761468628,-0.0771023938821407,4.35670882668959,3.36729582998647,0
65,1.6094379124341,0.693147180559945,0.510825623765991,2.07944154167984,1.94591014905531,5.02388052084628,-2.77258872223978,1.09861228866811,2.94443897916644,0
66,6.10924758276437,5.99893656194668,-2.6301067862469,9.11151401766929,10.0680693528521,6.65801104587075,-0.140352101135393,8.830689198761,4.00733318523247,0
67,4.74493212836325,1.6094379124341,-1.13190601676757,6.18826412308259,7.04141166379481,4.71849887129509,-0.813891831321032,2.70805020110221,2.56494935746154,0
68,3.40119738166216,2.19722457733622,-4.95582705760126,1.94591014905531,7.350516171834,5.17614973257383,-4.54784369079637,5.48479693349065,3.55534806148941,0
