"X","X2014_NT_nm","X2014_STA_nm","X2014_TATL_nm","X2014_LD.LDE_nm","X2014_F11100_nm","X2014_ARL_nm","X2014_WCEBITDA_nm","X2014_F10300_nm","X2014_F05200_nm","X2014_EBITDAIE_nm","X2014_ROS_nm","X2014_EBITIE_nm","X2014_ROL_nm","X2014_COGSSALES_nm","X2014_RETA_nm","X2014_EBITDA_nm","X2014_V16140_nm","X2014_DEB_nm","X2014_EBITDATA_nm","X2014_EBITTA_nm","X2014_ROI_nm","X2014_AL_nm","X2014_IOL_nm","X2014_F16200_nm","X2014_TOD_nm","X2014_WCTA_nm","X2014_CARCL_nm","X2014_CFD_nm","X2014_NET_nm","X2014_CFS_nm","X2014_APS_nm","X2014_ROE_nm","X2014_ER_nm","X2014_CAPAS_nm","X2014_F01000_nm","X2014_GL_nm","X2014_F12000_nm","not_survive"
17,-0.190586085418976,-0.100117918650991,-0.134100322066833,1.07702066357355,-0.0817526490234292,-0.165197820941584,0.23465388962279,-0.480714220854847,-0.0200943546900195,-0.51312552582471,0.0540924246559328,-0.495577102473344,-0.171325945037601,-0.415534596850413,-0.782055385139365,-0.304307378446329,-0.635880699912787,-0.0677877731259516,-0.156677873305473,-0.155429718235119,0.0305553146653344,-0.166594496252652,-0.0167786612012679,-0.02084670383929,0.000552906946487822,0.0164994327331441,-0.202851860851932,-0.163321766045462,-0.0403050717686597,-0.0251642014696652,-0.0149072703978985,-0.0350618499488917,-0.0623683603785838,-0.0371172403821988,-0.0425395019277903,-0.131025913848318,-0.0929432656554016,0
18,-0.191201414006524,-0.132204881201279,-0.133824610414391,1.08367584746116,-0.0862486481724389,-0.142975237473149,-1.40624136055507,-0.482420797563859,-0.0200943546900195,-0.495310605422799,-0.0648902988380587,-0.476642304382607,-0.216174863750783,0.727086041054619,-0.212539174480928,-0.247769369697694,-0.603111559920811,-0.0616475432622707,-0.144631745884699,-0.141027907100495,-0.735790535031896,-0.169027933141685,-0.0167786612012679,-0.02084670383929,0.0409116326234292,0.032470166879213,-0.2302621211468,-0.166605154041685,-0.282456327267685,0.00574643559531208,0.0228668967287715,-0.388885348784441,0.0905749097906483,-0.0456796243206927,-0.0425395019277903,-0.130596171175185,-0.0929432656554016,1
19,-0.173726146559012,0.29915253674267,-0.135059903386858,1.05690329544825,-0.0862486481724389,-0.234866646866206,0.0470103278974496,-0.351014390969904,-0.0200943546900195,-0.49350179126732,0.0225839245186601,-0.47708143611702,-0.188465671247131,-0.528321348757888,0.58638686862975,-0.306191978737951,-0.177112740025133,-0.156517468408813,-0.0543622375541289,-0.0603979793063133,-0.23339464092524,0.190016918017131,-0.0167786612012679,-0.02084670383929,-0.0319747882636083,0.149881617299026,-0.18902520962148,-0.142006712879007,-0.155529461002397,-0.0378626578874732,-0.0340437025722651,-0.203423960918967,-0.016845550757347,-0.0401010494595577,-0.0425395019277903,0.0951672678328762,-0.0929432656554016,0
20,-0.188750623337476,-0.100489310846013,-0.103118259420377,-0.222909532058856,-0.0592726532783809,-0.127081605255637,0.256067448743588,-0.310056549953606,-0.0200943546900195,-0.495474402615067,0.0492977585282245,-0.4804820588437,-0.153699644165297,-0.39576628593023,-0.148573086258142,-0.190603160851852,-0.177112740025133,-0.174962110510429,-0.153354124859799,-0.152914097257213,-0.00676640882747758,-0.166804644862623,-0.0167786612012679,-0.02084670383929,-0.0208394229691419,0.0496069019407765,-0.193047692649523,-0.16423735744475,0.0452130296157547,-0.0299584366893333,-0.0267937301981051,-0.209629426812698,-0.0563031850842951,-0.0387797384967024,-0.0425395019277903,-0.133557954540956,-0.061752063393094,0
21,-0.190460418269696,-0.100995048085828,-0.104135569634149,-1.07145420036324,-0.0637686524273906,-0.14464097604517,-0.188712785593383,0.00736671792270211,-0.0200943546900195,-0.49512398120325,0.025116756539891,-0.479803053131831,-0.189326978602605,-0.478925676209937,-0.142076096502174,-0.0809822438892209,0.0522712399186945,-0.17503181337404,-0.162336555738119,-0.160476559070593,-0.213052607122782,-0.173618101290612,-0.0167786612012679,-0.02084670383929,-0.00288265705694919,0.0585248393967771,-0.242371380493289,-0.168188933051077,-0.0988174569264168,-0.0317503514514765,-0.0258072428947712,-0.2111344194698,-0.0205836887151412,-0.0405589107069663,-0.0425395019277903,-0.121019522014668,-0.0929432656554016,0
25,-0.190502940599629,-0.0919518472827838,-0.11627225790153,0.228956853900961,-0.0862486481724389,-0.216752833335749,1.0709912127798,-0.448289263383611,-0.0200943546900195,-0.505962444866239,0.0532717716103441,-0.490246048126244,-0.151885532782416,-0.484717078136391,-0.585096093166769,-0.302108678106105,-0.504804139944886,-0.174847680087279,-0.154377782083476,-0.15471190139732,0.0298743676495504,-0.167283162843649,-0.0167786612012679,-0.02084670383929,-0.00179886068590082,0.198719712244294,-0.252585277716218,-0.168105186339165,-0.0340037379824397,-0.0370385286693666,-0.025111235497704,-0.209208419099491,-0.0622587226441102,-0.0386193639959105,-0.0425395019277903,0.023018131044427,-0.0929432656554016,0
26,-0.191362152407049,-0.122472852638742,-0.115399441829906,1.09721309650528,-0.0862486481724389,-0.23427094906012,0.398790205488981,-0.374906464896077,-0.0200943546900195,-0.214944411323591,0.0257012328859286,-0.297788644075345,-0.191669505936697,-0.0900215227933373,-0.853322875214431,-0.325352081702766,-0.0132670400652561,-0.160431021508741,-0.103181311402019,-0.101819004818665,-0.208258786939505,-0.175938026757537,-0.0167786612012679,-0.02084670383929,0.0736348524052443,0.264317956829518,-0.263888806452599,-0.17107600400354,-0.159130223165951,-0.0389057949752039,-0.0128131548726841,-0.181721032551731,-0.0214586753041375,-0.040665342620413,-0.0425395019277903,0.0153811176946862,-0.0929432656554016,0
27,-0.189391684325572,-0.0583151262164805,-0.115330706384056,1.00453500689552,-0.0862486481724389,-0.0959872045243591,0.569897814241531,-0.467061607182748,-0.0200943546900195,-0.380711452178628,0.0944263822491372,-0.371624640556428,-0.0368266966970204,0.356701094847381,-0.404509606044622,-0.199712062261355,-0.504804139944886,-0.15361604111059,-0.0359413488807052,-0.0418717003575592,0.447288170686134,-0.162120129532003,-0.0167786612012679,-0.02084670383929,-0.0171826234404279,0.0923186444513634,-0.181679299846225,-0.15980606344449,0.00740502689843464,-0.030739431147124,-0.0294496920593968,0.0346505866246552,-0.123070540708095,-0.0283819398145118,-0.0425395019277903,-0.10641107141727,-0.0929432656554016,1
30,-0.189417024467221,-0.0568053491194492,-0.0873279369202634,0.866503809604377,-0.0862486481724389,-0.0250801457501197,0.116431865720495,-0.380026195023115,-0.0200943546900195,-0.41709408841824,0.056496945825506,-0.405774878598299,-0.0721649746848309,-0.383646400842247,0.533360522097218,-0.285775475578721,-0.537573279936861,-0.154830592072637,-0.126550432816666,-0.126400260186588,0.0586669247641821,-0.142883083933651,-0.0167786612012679,-0.02084670383929,-0.0169964480914438,0.119546238204809,-0.194703948877952,-0.135567912239045,-0.037604500145994,-0.0297740022689367,-0.0321537534365713,-0.0311158629730306,-0.0668618927079579,-0.0341307304831911,-0.0425395019277903,-0.088974841314121,-0.0929432656554016,0
31,-0.190554570495854,-0.0875565580357009,-0.129293689260642,1.03860046686019,-0.0862486481724389,-0.143485339890849,-0.159702041029698,-0.0165253560034716,-0.0200943546900195,-0.0188656829979188,0.0656489629591465,-0.00136588547515198,-0.148677758993661,2.21598669124455,-0.571197488530759,0.056907677447728,0.379962639838448,-0.137894353657429,0.0984536214417639,0.101413736544986,-0.0251532809268939,-0.166668651256659,-0.0167786612012679,-0.02084670383929,-0.000377619117062774,0.0820509772926928,-0.244290398850247,-0.163261678432429,-0.0772128839450911,-0.0273711432822151,-0.0217637205598026,-0.0889903386189941,-0.0532725189804486,-0.0359717963405651,-0.0425395019277903,-0.112030568072604,-0.0929432656554016,0
