"","X2014_RETA_nm11_","X2014_CTA_nm11_","X2014_NET_nm11_","X2014_IOL_nm11_","X2014_APS_nm11_","X2014_GL_nm11_","X2014_CFS_nm11_","X2014_F05200_nm11_","X2014_NITA_nm11_","X2014_TC_nm11_","X2014_ROE_nm11_","X2014_EBITTA_nm11_","X2014_WCTA_nm11_","X2014_AL_nm11_","X2014_ROI_nm11_","X2014_V16140_nm11_","X2014_STA_nm11_","X2014_F12000_nm11_","X2014_EBITDAIE_nm11_","X2014_EBITS_nm11_","X2014_F16200_nm11_","X2014_ARL_nm11_","X2014_COGSSALES_nm11_","X2014_DEB_nm11_","X2014_TATL_nm11_","X2014_CARCL_nm11_","X2014_ROS_nm11_","X2014_F01000_nm11_","X2014_ROL_nm11_","X2014_EBITDA_nm11_","X2014_EBITIE_nm11_","X2014_ER_nm11_","X2014_EC_nm11_","not_survive"
"5072",0,0.00734601202269672,-0.00229147675357639,0,0.000447629753899627,0.000123702313833011,0.000220750549922248,0,-0.00202394711227528,0.0004638313254811,-0.00331803268403566,0.00210177356420082,-0.00911181165138718,7.24641314473113e-05,-0.00918825731628976,0.00999651047788391,0.000984361219231053,0,0.000943813940390686,0.00708344349720982,0,0.000645688618904729,0.0132723102641627,0.00093242572710535,0.000151476561767681,0.000586158788858051,-0.00147274535954736,0,-0.000646113039012268,0.00219471645857998,0.000942625205574437,0.00912727498703039,0.0095768296583836,0
"5073",0.00765147314685028,0.00618315229711656,4.65274467731247e-05,0,0.000248935591497016,0.000735898337563751,0.000118059092179572,0,4.57653015696763e-05,0.000241358107797514,6.73712220108764e-05,0.0019818011548685,-0.00017782685289972,0.000431711754381725,0.000358529667047842,0.00470424022488655,0.000676679289314277,0.002032366348623,0.000528820155817322,0.00971606019804448,0,0.000311187018831373,0.0205347991390472,0.00032530524434459,0.00038987484805511,0.000693027035544604,4.84436037049081e-05,0,3.76032562133147e-05,0.0018691476994538,0.000525080885458131,0.00728608188794946,0.0119968947838185,0
"5074",0.0109126650129523,0.00758258257345794,2.32637233865623e-05,0,0.000196613633559945,0.000471040131906808,0.000305034798125471,0,4.03541737287727e-06,0.00141222129486103,3.36856110054382e-05,0.00121330293929028,-0.00128381009533315,0.000271282238337372,3.06375645031128e-05,0.0135246906465488,0.000617912608589376,0.004064732697246,0.00106440490130791,0.00651411163284965,0,0.00188444716051332,0.0101243982759031,0.00130904917844548,0.000549386766785966,0.00260012393188011,4.67782963546814e-06,0,4.67229828032549e-06,0.0065343565066971,0.00104952530923692,0.00733691484876092,0.011913775694259,0
"5075",0.0105994433203121,0.00149894601142219,0.000116318616932812,0,7.14758245907101e-05,0.00137612989124421,2.02816821261302e-05,0,0.000138682732029322,0.000450934327354516,0.00109478235767674,0.00066249684539145,0.00140106005314931,7.33909982448932e-05,0.00047974858409876,0.00382219518272032,0.0016223898597135,0,0.00186676404731142,0.00135469521147765,0,0.000322393199564914,0.0018931147722312,0.0570093091713302,0.000575578394102416,0.000142623504511777,6.12280127716228e-05,0,0.000168225093585882,0.000520910014601879,0.00183428255986707,0.00726746725596781,0.0120276232031506,0
"5076",0.0122085243737804,0.0167661179865251,0.00267532818945467,0,1.75512755462056e-05,0.000453690410272714,6.68447351271842e-05,0,0.000255824597815469,0.00757376214983687,0.00387384526562539,0.000829059090933105,-0.000425707899065061,0.00189541139341868,0.00065696642146516,0.0144067356887151,0.0021906109030121,0.0008129465394492,0.00332936757784381,0.0012555477821908,0,0.00045728340979954,0.0014781718157855,0.000751507302443118,0.00173598093513058,0.00241488506538186,8.36488652562226e-05,0,0.000935946788040896,0.00836137177849928,0.00318004542185606,0.00724042384740928,0.0120725470826258,0
"5077",0.00630243058262876,0.0164042293713635,4.65274467731247e-05,0,0.000208484273704583,0.000603120499091627,0.000165638719636028,0,1.80598499467781e-05,0.000695056077607726,6.73712220108764e-05,0.000885781391324942,-0.0010175204677132,0.000471038975333481,0.000124499367483813,0.00793840537949605,0.000807499906,0,0.000478495549185854,0.00363912586086601,0,0,0.00667077391888594,0.00081065371050577,0.000396463398330721,0.000903097851936106,1.6019710219877e-05,0,1.50897186950426e-05,0.00222535822414479,0.000451989626202359,0.00732229118175243,0.0119375692151996,0
"5078",0.00470024838996012,0.000663315131227914,0.000360587712491716,0,0.000256948179629124,0.00112059702797887,0.000158158488808337,0,0.000247321201826619,0.00028649760124056,0.000522126970584292,0.00177176891303216,0.000604498572852457,3.97917984384376e-05,0.00234081829241368,0.0161708257730475,0.000608689642812651,0,0.00378843291954376,0.00965659838532695,0,0.00105008070715429,0.0141393281805569,0.000426202058098527,0.000426753826029306,0.000680607621152868,0.000291037154041115,0,0.000222434771702638,0.00246666212796772,0.00365456296278859,0.00699316679714533,0.0124993955287463,0
"5079",0.00173502792445585,0.000250880228454433,0.000151214202012655,0,6.89437180469224e-05,0.00441493993465617,4.13180664428163e-05,0,3.26895011211974e-05,0.000893577727341941,0.000547391178838371,0.000218238831629244,0.00342951787735174,3.31476632863314e-05,0.000314729908753857,0.00588030028110818,0.000573467107603482,0,0.00255307435882297,0.00126251491981579,0,0.000989738919274982,0.00164461336770805,0.00385060512490241,0.00168816801255823,0.00158746394664669,4.08303195126948e-05,0,0.000116302183021079,0.000949894732509309,0.0024993850147807,0.00729283134526291,0.0119857917532665,0
"5080",0,0.00629963240318469,0,0,9.40331337352271e-05,0.000200422958085838,7.04026641931243e-05,0,0,0.000438037329227931,0,0.000950668523914365,-0.00244511922737115,0.000206562618793021,0,0.006468330309219,0.00140970248680002,0,0.00208981489855267,0.00223725070349708,0,0.00065290870842119,0.00253821363597503,1.96849500518117e-05,0.000503512788263423,0.000565417785559997,0,0,0,0.000777534801207217,0.00213182839496001,0.007341700833659,0.0119060092172744,0
"5081",0.00417629565663589,0.00107587954245018,0.00177967483907202,0,7.44187486272978e-05,0.000455691855377567,8.1976501772544e-06,0,0.000319332514683935,0.00389074797054504,0.00257694924191602,0.000633996473145155,-0.000902220610431313,5.70876423264597e-05,0.00085071742827513,0.0279314263352639,0.00212293258032995,0,0.00037367406109746,0.000990749003246528,0,9.87456972240313e-05,0.0010992030760283,0.00164566182433146,0.000422474320022512,0.00010827566487117,0.000107743216752688,0,0.000284319969217534,0.00326717825334855,0.000372248831988615,0.00721108685371134,0.0121216620419747,0
"5082",0.0025504910489501,0.0380501679822557,-9.30548935462494e-05,0,0.000604619438755258,0,0.00111577456308557,0,-0.000183061206278706,5.61940632658334e-05,-0.000134742444021753,0.00101801996165877,-0.000955819334335992,0.00420127360256991,-0.00307982861529626,0.00529227025299737,0.000305859038770052,0,0.00271778883358574,0.0110420060005722,0,0.000303241128303632,0.00587930220014367,0.000175699623950821,0.000360923745476762,0.00216172638967824,-0.000428704457565558,0,-0.000139243740829502,0.00046728692486345,0.00575488650462112,0.00785690790970524,0.0111252873013876,1
