"","X2014_F04000_nm8_","X2014_EBITDA_nm8_","X2014_EBITIE_nm8_","X2014_AL_nm8_","X2014_ROI_nm8_","X2014_IOL_nm8_","X2014_F05300_nm8_","X2014_V16140_nm8_","X2014_CNS_nm8_","X2014_F12000_nm8_","X2014_F16200_nm8_","X2014_EBITS_nm8_","X2014_TOD_nm8_","X2014_F05200_nm8_","X2014_DEB_nm8_","X2014_F01000_nm8_","X2014_LEV_nm8_","X2014_COGSSALES_nm8_","X2014_CARCL_nm8_","X2014_APS_nm8_","X2014_STA_nm8_","X2014_TC_nm8_","X2014_ROL_nm8_","X2014_ER_nm8_","X2014_ARL_nm8_","X2014_TATL_nm8_","X2014_EC_nm8_","X2014_STDE_nm8_","X2014_EBITTA_nm8_","X2014_GL_nm8_","X2014_CFS_nm8_","X2014_TR_nm8_","not_survive"
"2534",0,0.00257765038076495,0.00530930737671949,0.00330872255521269,0.0101529203196577,0,0,0.0822510822510823,0.00455945096611284,0.0106477373558119,0,0.00223107928863019,4.45876603788373e-05,0,8.7000067902492e-05,0,0.000841368878805065,0.00430880279467161,0.00916560114443417,3.16691304588091e-05,0.00157059861082653,0.00162648831664628,0.0066809756097561,0.0135953546821511,0.0166636994837101,0.00331761238600499,0.105280404280512,9.10117390542566e-05,0.000619673424057815,0.000829643523820688,0.000254081064292838,0.00174273658625233,0
"2535",0.000359066427289048,0.0175301617181484,0.0059835051388426,0.000238163494828765,0.00261129889775403,0,0,0.54978354978355,0.000275184060010509,0,0,0.00287772788460593,0.000187297494983829,0,0.00301147552115163,0,2.43067390297405e-05,0.00641267521957642,0.000864375145812272,2.60495493074356e-05,0.0020026932862707,0.00862887978429615,0.00210687711386697,0.0145365908189769,0.00543124943424485,0.00315239754983423,0.0984635569025776,0.00320049837444274,0.00101917045266958,0.00415635783245734,4.96041043547184e-05,0.0086469549316251,0
"2536",0,0.00641738684007872,0.0941195398600274,0.00100010417751849,0.000931278849976933,0,0,0.173160173160173,0.000358475285120621,0,0,0.00947685595178952,5.44636882809702e-05,0,3.72949293299671e-05,0,0.0019627105052125,0.0254932759168402,0.00077118490292143,3.75712521213877e-05,0.00366082629776557,0.000994327975816782,0.000529655172413793,0.0147642947316563,0.000251698968034231,0.00119975398303157,0.0969449921779806,8.55401209714289e-06,0.00613516234583438,0.00389602837704251,1.00066346510418e-05,0.000981043569124529,0
"2537",0,0.00427825789338581,0.0268683130882471,0.00080563947633434,0.00129396757045476,0,0,0.0865800865800866,0.000296299547868838,0,0,0.0170320645575948,0.000951409029862264,0,0.000733346913831738,0,9.98151737008322e-05,0.0351849690745712,0.000445390211312912,0.000185043220809432,0.000559657928505173,0.000357812913925309,0.000177777777777778,0.0147145354538865,0,0.00159342325871381,0.097272825347386,3.50419530048475e-05,0.00168567021293513,0.0663293985385047,5.83837704238942e-06,0.000354226295942938,0
"2538",0.000239377618192699,0.0406220586976983,0.0337507485765872,0.00496682519261627,0.0139583438431132,0,0,0.0606060606060606,0.00809849343509786,0.00443655723158829,0,0.0193051640632189,0,0,0.00141916208324846,0,5.15791328214829e-05,0.0806315062465537,0.0257807421344425,3.41819666598022e-05,0.00156825516338791,0.0028581485903405,0.00791578947368422,0.0131652219595482,0.0133936367128837,0.00307831614067312,0.108720114379518,0.00162750403955847,0.00535393236123163,0,0.000302059682396798,0.00316248125937031,0
"2539",0,0.003016171814837,0.0452095567532781,3.60734093881049e-05,0.00144654424542902,0,0,0.147186147186147,0.00013853826734807,0,0,0.0211108885104678,0.000403373907686077,0,0.00102193250492293,0,7.16281645162119e-05,0.0383041414306761,0.000739307625535171,0.000361697861605163,0.000769481834031545,0.000213381332036594,8.50498338870432e-05,0.0146937026988434,0.00310400853602347,0.000592901677660952,0.0974107389137855,0.00026086787236942,0.00287268191948311,0.00269311117263597,0.000352144258254722,0.00021154195629458,1
"2540",0,0.279787370582699,0.000409033755045005,3.44319730149501e-06,-0.0398181641828361,0,1,1,0.00237110367682034,0,0,0.052744370385255,0.019916564689512,0,0.000260837630599419,0,0.000280631093829784,0.0431981890715498,0.00143009580485725,0.022531592975758,8.54168873289977e-06,0.0275269176195643,-0.000204360776837841,0.0238110783950578,0.00324566613992718,0.000846787215669012,0.0601117015166729,0.000189283032966771,7.96714114433518e-05,0.00074157458437261,0.0230921514624391,0.016840301440189,0
"2541",0,0.00194660734149054,0.0292816346231196,0.028036253776435,0.0170774666487566,0,0,0.142857142857143,0.0427588466579294,0.00532386867790594,0,0.0181902985074627,0,0,7.129761662253e-05,0,0.0010266703580657,0.0401785714285715,0.0296290535811493,3.35712093308778e-05,0.000541967652273555,0.000140076860826744,0.00944761904761907,0.0128324468085106,0.00764685436218285,0.0090695688002982,0.111539479464239,7.78710066774388e-05,0.00174339521428435,0,0.000922428820453227,0.000159011403389214,0
"2542",0,0.00432104047231967,0.023570106990588,8.16526496284805e-05,0.00194535260592179,0,0,0.0909090909090909,0.000285310322527469,0,0,0.00625070913573116,0.000309773778631199,0,0.0510796496231412,0,0,0.0231344918839652,3.89760725890377e-05,9.10699288367695e-05,0.00216364384538275,0.00103134310484354,0.000452173913043478,0.0146260053816407,0,0.00083746414236749,0.0978616101885545,0.00455545389063017,0.00239165053486541,0.00227314160703705,5.62184198046251e-06,0.00102718527100086,0
"2543",0.000119688809096349,0.00300547617010353,0.00785133939345185,0.000537092984222893,0.0144452110662422,0,0,0.0606060606060606,0.000524008750114367,0,0,0.00495257168373906,0.000584624038582274,0,0.000784273782847831,0,9.33336689150639e-05,0.0139309643323088,0.00125398553542266,7.49949771453154e-05,0.000929837481605574,0.000726512630505547,0.00376796536796537,0.0131121465596287,0.00227509716560812,0.00236639787237559,0.109160192098581,0.000245293671033932,0.000814367580160136,0.0153644369495972,6.3426406140772e-05,0.000807124846667575,0
"2544",0.000179533213644524,0.00562590912980234,0.0123347545115705,0.00897090443918238,0.0204625738051313,0,0,0.0735930735930736,0.0283959504372732,0,0,0.0171928338275235,3.75096888866024e-06,0,0.000387044204522306,0,0.000189123487012103,0.0366464432590904,0.0048821918276726,6.81512363044199e-05,0.00045390506882383,0.00036579656920559,0.00544561403508772,0.0124898219279924,0.0101805608912793,0.0053344324574485,0.114599266949188,0.000432184087059785,0.00138005106188929,3.03845160506206e-05,0.000775454733290719,0.000426633274271955,0
"2545",0,0.00200008556515787,0.0292816346231196,0.0253251017995534,0.00444428625886632,0,0,0.0606060606060606,0.0340737715219304,0,0,0.0139542015947659,6.15569962823971e-05,0,2.77782921905962e-05,0,0.00263512058570198,0.0154109589041096,0.0220038392115291,4.29220941216702e-05,0.00059029395021477,0.000225719708378846,0.00231111111111111,0.0142960336222748,0.00304136253041363,0.00633203491044441,0.100120388290334,2.03526494725125e-05,0.001456652580356,0.001173106532737,0.000713188413872154,0.000229998637045114,0
"2546",0,0.0192414648755027,0.0526425870806854,0.0155227437130335,0.0400119979630909,0,0,0.0649350649350649,0.00769966792367875,0,0,0.0161615236699936,3.35416393853674e-05,0,0,0,0,0.0732156217267694,0.0142372597462418,1.03986077163946e-05,0.00148329824377488,0.00129407794224914,0.0604845070422535,0.0108212384469993,0.0230286830471882,0.0106985104296741,0.132269928648576,0.000245293671033932,0.00423929308286676,0.00173384319407169,0.000226244075055047,0.00174202671391577,0
"2547",0.000179533213644524,0.0230170274664157,0.0431180114230553,0.00414488476345201,0.042255178922912,0,0,0.0952380952380952,0.0146522771952818,0.0141969831410825,0,0.0153061224489796,0.00013397872389206,0,0.00223399198750594,0,3.27660752574161e-05,0.0501182180189148,0.0062808160086189,7.41078736589786e-05,0.00100796912734559,0.00163810090614487,0.00872462006079027,0.0106578610072991,0.00399352162048233,0.00217888451325643,0.134297532712574,0.00252691416668289,0.00272831852100703,0.000971789521822391,0.000382097202623061,0.00223893734950706,0
