"","X2014_TOD_nm6_","X2014_LEV_nm6_","X2014_IOL_nm6_","X2014_APS_nm6_","X2014_F05200_nm6_","X2014_NITA_nm6_","X2014_NET_nm6_","X2014_EBITDAIE_nm6_","X2014_ROE_nm6_","X2014_EBITTA_nm6_","X2014_WCTA_nm6_","X2014_ROI_nm6_","X2014_V16140_nm6_","X2014_AL_nm6_","X2014_EBITS_nm6_","X2014_F12000_nm6_","X2014_STA_nm6_","X2014_COGSSALES_nm6_","X2014_GL_nm6_","X2014_ARL_nm6_","X2014_F16200_nm6_","X2014_DEB_nm6_","X2014_TC_nm6_","X2014_CFS_nm6_","X2014_CARCL_nm6_","X2014_EBITDA_nm6_","X2014_TATL_nm6_","X2014_EBITIE_nm6_","X2014_ROS_nm6_","X2014_EC_nm6_","X2014_ROL_nm6_","X2014_F01000_nm6_","X2014_ER_nm6_","not_survive"
"1141",0.00192762885768733,0.00492308730023935,0,0.000936227716829664,0,0.0887727207439355,0.0621131473213115,0.0308529676040395,0.0907577004448064,0.130480256230445,0.121584088730221,0.041988392057834,0.688151939831481,0.0427295602357553,0.0383180273372036,0,0.94351238173438,0.0444040088136552,0.217864702926295,0.0877405967205586,0,0.0149794618652435,0.217970217478966,0.000757535512344801,0.0534702400714794,0.0954864147754726,0.0345507299441198,0.0281508298272034,0.00520747439286819,3.73331572862045,0.0850574815016504,0,0.677147769335834,0
"1142",0.0351851307094993,0.00584452075215582,0,0.000602147165793981,0,0.101508756583775,1.12973912881516,0.190158476866564,1.65073788490191,0.0476314453438214,0.250667495185676,0.683680018799597,1.14691989971914,0.367604579397706,0.169885096036656,0,0.077686297905805,0.449398087954876,1.80963902315818,0.442369702934945,0,0.012617834994597,0.243482722327311,0.00525479694781245,0.0531496410212778,0.504444678057266,0.652438007231945,0.190703036365915,0.0723193140822432,4.37500735536221,1.83661667218281,0,0.577829066907346,0
"1143",0.506282138381011,0,0,0.0378796237405373,0,0.000357013262079245,0.00180038108177714,0.0260491064200772,0.00263065798390743,0.0140072865377334,0.195476806296063,0.0277543408764108,0.425998819895679,0.296397551016079,0.853514657652707,0,0.00454725149991127,1.16554085106398,0.603647777796694,0.0285177770442652,0,3.41207850271005,0.00955820604177462,0.125090190411577,14.0311856985187,0.0760122117620538,0.17718693414551,0.0231009906345774,0.00434540831150138,3.71908167743902,0.00175425129072523,0,0.679739418791823,1
"1144",0.0164191159256892,0.00149510995985381,0,0.00946133802917158,0,0.0165002281618248,0.0459097175853172,0.0933159635392448,0.0670817785896395,0.10861526317246,-0.0936161534990832,0.0962462649103747,0.622613659847531,0.000618321871646812,0.389283977908531,0,0.0773090390814585,0.597222544967833,0.0364570484873359,0.18454998896779,0,0.0493242640697881,0.0702851542019216,0.012436175802609,0.0499975402870437,0.305305247242629,0.0417256865090198,0.0881483618923427,0.0118128554774373,3.78757360147298,0.0190927814897537,0,0.667447470031626,0
"1145",0.0333097991495053,0.0124196065983311,0,0.00125175535843952,0,0.0134897179388797,0.0540114324533143,0.174499411757222,0.078919739517223,0.02970869895269,0.135586620992594,0.125769244857329,0.622613659847531,0.24447135213066,0.16839495008658,0,0.0488832998681204,0.234936372264574,0.520029985484561,1.32534091595154,0,0.00593780470333975,0.0632781986449816,0.0190910836460607,0.53795876130947,0.123441319101187,0.498776921687226,0.160467435534172,0.0152734648572573,3.81709658141995,0.186588546377138,0,0.662285159397595,0
"1146",0.135308128222214,0.00220793006192553,0,0.0927591538713197,0,-0.026958831636523,-0.0234049540631029,0.710430175093015,-0.0341985537907966,0.067162919385937,0.028285269426443,-0.417280481524471,0.524306239871605,0.0129088250396439,1.08746099480465,0,0.0171128294744392,0.619006267792745,0.0742667702042418,0.0252619391081713,0,0.0334001514562861,0.00826461424664722,0.0276273636360237,0.0253978273996686,0.0628200097207057,0.019226831658779,0.629284060918323,-0.0871915624242558,3.27404685503814,-0.0143742287579425,1.01715049859282,0.772135076189151,0
"1147",0.0262782832915605,0,0,0.0110802781192815,0,0.0004160971226505,0.00180038108177714,0.0710430175093015,0,0.0273373786532484,-0.0535110180928598,0.00175401631578146,0.458767959887654,4.50652596698641e-05,0.0723448046380764,0.77978005655769,0.104702117732857,0.110381850806792,0.0537387417428198,0.0524622623761249,0,0.88662220229414,0.151242440713644,0.00411358657783655,0.016493191795036,0.131922020413482,0.0262638372389365,0.0607879841159197,0.000219955316147765,3.69308135287839,0.000303060023646882,0,0.684524974217366,0
"1148",0,0,0,0.0002254307524553,0,0.0262386299600431,0.62383204483578,0.514469851796524,0.633988574121691,0.0233898833075662,-0.00206571554275795,0.372139924969142,2.62153119935802,5.07178515218297,0.222795046473399,0,0.0290889784732318,0.292959603603461,0,0.0300592785061173,0,0.425160311769816,0.247004166658491,0.0276961740062254,0.98494776455119,0.545905884472932,4.65419627350458,0.500130998891752,0.0499238305924974,4.06346726153175,3.38658211674506,0,0.62213037663524,1
"1149",0.00514705863502666,0.0398938541987457,0,0.0129891823883937,0,-0.073945311663595,-0.160233916278166,0.0411142569415533,-0.00812946390860282,0.0788808905047188,-0.103610835739195,-0.350804199630616,0.917535919775308,0.000604107575746885,0.287340538084165,0,0.0760642959770165,0.373132207308446,0.0171119785823335,0.025906602514778,0,0.00184853531839294,0.0673027064520446,0.00251887583050572,0.0133269155978063,0.170870426440319,0.0301073822588713,0.0392489633132037,-0.0538052941614184,3.34052313693199,-0.0617389731823298,0,0.756769617881916,0
"1150",3.1388804324826e-06,0.0380996747505127,0,0.00328937640743809,0,0.0480498929326715,0.612129567804229,0.032789085004293,0.00739193152502915,0.0146203953905008,-0.158407120791835,0.0935837219022659,0.49153709987963,0.00438358511958122,0.0175668878127947,0,0.230605805153317,0.0345324310700397,2.81181229302122e-05,0.17535012134597,0,0.00193558603731145,0.963797753580747,0.00429587224826968,0.146576596976944,0.188460029162117,0.04023486199278,0.0309248167079862,0.0115323391204533,3.78491105846489,0.0536130731547487,0,0.667916994299743,0
"1151",0.0111004884831476,0.00125048670555279,0,0.0065971254086266,0,0.00594868747253176,0.0243051446039914,0.520390103255634,0.0355138827827503,0.0194087758335443,0.069761421230023,0.0293221059391559,0.49153709987963,0.000588877972996963,0.0595722940761633,0,0.090273392815745,0.0724635730521389,0.24150584898735,0.000550284274711529,0,0.0589731967127152,0.122136625323278,3.83736556331025e-05,0.000970801795530597,0.0920313142408338,0.0512473980204806,0.42791316142446,0.0036471750145132,3.72064944250176,0.00845412635759115,0,0.679452997905088,0
